cub,mean,ci_2.5,ci_97.5,cub_number,litter_size,age_mat
92,8.934710970210087,7.857542732258886,10.17441688716196,3,triplet,middle-aged
93,13.075805192000042,10.897248874732592,15.636170623645016,1,singleton,young
94,10.367113845527799,8.851952606965217,12.068854789209361,3,triplet,middle-aged
95,7.12739076880036,6.085717417288585,8.297337667581436,3,triplet,middle-aged
96,7.345426837296168,6.339960712532738,8.468516682022566,3,triplet,middle-aged
97,18.635622799226113,15.700785611941152,22.080006939694123,1,singleton,middle-aged
98,11.895912061346264,10.669117234435491,13.358771369438497,2,twin,young
99,12.835063013557809,11.51141596346987,14.413411214394165,2,twin,young
100,13.247623490757865,11.981530780943777,14.711465448908204,2,twin,young
101,13.244249934591796,11.762966530825974,14.9178729117662,2,twin,young
102,12.327787662567724,10.94249861410052,13.941610347910238,2,twin,old
103,12.041094926228942,10.688021902144696,13.617386851447218,2,twin,old
104,10.43377829134719,8.776499831802951,12.333680226764967,1,singleton,young
105,11.985987477857359,10.69090942969019,13.45797781210888,2,twin,young
106,13.660072952533541,12.01462054628806,15.541363507247475,2,twin,young
107,22.46533664353221,19.049213552175324,26.267147588640785,1,singleton,middle-aged
108,11.874008712503883,9.05770683389286,15.188073661667303,1,singleton,middle-aged
109,13.302915844416141,11.649748247033639,15.178596741437671,2,twin,middle-aged
110,12.978454482357213,11.365608045886479,14.808387064817243,2,twin,middle-aged
111,15.055128206293851,13.18767717690262,17.16891035652674,2,twin,middle-aged
112,14.56151744543176,12.755294318643518,16.605995262870128,2,twin,middle-aged
113,10.344600328501356,8.905794308305163,12.034152075998405,2,twin,old
114,11.257359181016184,9.691599688449736,13.09598902388062,2,twin,old
115,11.812839298676664,10.28901337917552,13.48120637390808,2,twin,middle-aged
116,11.296696403469008,9.747309077403546,13.017210604953885,2,twin,middle-aged
117,11.938022757393858,10.436920129626055,13.6519428856644,1,singleton,young
118,11.067375251402938,9.62407790041427,12.74352243165667,2,twin,middle-aged
119,13.456726292891132,11.55582581253066,15.668456449296155,2,twin,middle-aged
120,10.3679054242015,8.97726209743058,11.940436349191627,2,twin,young
121,10.033456862130484,8.687672997513461,11.555260983088674,2,twin,young
122,15.15149084003156,13.16086909935642,17.330346871032354,2,twin,young
123,13.601691980559979,11.690883634028978,15.756240632959884,2,twin,young
124,17.31923559137347,13.532976665520119,21.92072122461462,1,singleton,old
125,19.509368776564237,15.750462998175603,23.940621801330256,1,singleton,young
126,11.152756076066217,8.987100863284201,13.753108122004402,1,singleton,young
127,12.150969195851584,10.958361006228042,13.403763261324054,2,twin,middle-aged
128,12.150969195851584,10.958361006228042,13.403763261324054,2,twin,middle-aged
129,18.13700855223385,14.470120767781216,22.38080156587079,1,singleton,old
130,18.78108652960796,16.75252732893409,20.99633364784103,2,twin,middle-aged
131,21.26400800834065,18.680063899941096,24.26386225130869,2,twin,middle-aged
132,14.467204085855604,12.988307461722721,16.049067984336638,2,twin,middle-aged
133,13.968334979446787,12.540434790628831,15.495651846945714,2,twin,middle-aged
134,23.770008021136245,21.59421622214965,25.983262778069694,2,twin,old
135,19.95783692340685,18.130992865767162,21.816135728756635,2,twin,old
136,17.604303240545622,15.648457206034106,19.719378388840948,2,twin,old
137,16.204068243538263,14.223481568227001,18.400706550172007,2,twin,old
138,14.014730470354046,12.563067510746812,15.56459986610046,2,twin,middle-aged
139,14.839126380374868,13.302071481967209,16.480164564106364,2,twin,middle-aged
140,16.139283377814387,13.729335794391954,18.83334307271225,1,singleton,young
141,12.79887803350766,11.493719801487604,14.192155451141668,2,twin,young
142,13.549332494874848,11.965940148175186,15.334554524969185,2,twin,young
143,10.442974199180039,9.270183722246651,11.703436032957097,2,twin,young
144,10.150964389361242,8.872913148709666,11.543401850102006,2,twin,young
145,12.757384881349038,10.93476645955017,14.814411228647895,1,singleton,young
146,9.589259585482823,8.424972867062335,10.902124781554438,2,twin,middle-aged
147,10.15333367874652,8.920559506301302,11.543426239292941,2,twin,middle-aged
148,17.417318436369317,14.841350782293398,20.443703316785996,1,singleton,young
149,11.428757969515532,9.846535473453732,13.179960496846133,2,twin,middle-aged
150,11.691584586995399,10.196076394264278,13.328440175256484,2,twin,middle-aged
151,11.289221442353835,9.892548328691111,12.826660398416818,2,twin,middle-aged
152,11.286374595481668,9.76673199256037,12.975367619121693,2,twin,middle-aged
153,10.652143941026113,9.399229763195274,12.016683390021317,2,twin,middle-aged
154,10.865186819846636,9.587214358459182,12.257017057821745,2,twin,middle-aged
