cub,mean,ci_2.5,ci_97.5,cub_number,litter_size,age_mat,length_mat
175,21.604029550689734,18.242609587922104,25.2332838060776,2,twin,middle-aged,198
176,20.36045456064567,16.910514448197503,24.012855080328837,2,twin,middle-aged,198
177,19.722774231530067,17.0418116325879,22.80558319794502,2,twin,middle-aged,203
178,16.301476660754446,14.085579002445101,18.849512643199454,2,twin,middle-aged,203
179,9.476161615342521,7.8344947470234905,11.147107106423084,1,singleton,young,198
180,15.095816803004228,12.600417655649204,17.79883457579023,2,twin,middle-aged,190
181,14.191574481472925,12.004196225330578,16.243463910926703,2,twin,middle-aged,190
182,11.75989945986009,10.181671934779821,13.47030100760101,2,twin,young,195
183,13.465933456368512,11.613954392278943,15.36097893299514,2,twin,young,195
184,12.017077479548764,10.322268758047203,13.939169353330463,1,singleton,young,195
185,18.49172835600281,15.860068598557893,21.066564962579225,2,twin,middle-aged,191
186,17.289895621063394,15.098766199053312,19.40330527407636,2,twin,middle-aged,191
187,11.31292261645293,9.341375092971825,13.466125047190063,1,singleton,middle-aged,192
188,11.075733573416073,9.346365277427221,12.814371180558087,2,twin,middle-aged,189
189,11.55728720704286,9.752728985141449,13.371517753625835,2,twin,middle-aged,189
190,14.503236506451998,12.097483964656957,17.343414267926388,1,singleton,young,202
191,11.068163451618918,9.524413707152021,12.638945474881083,2,twin,young,198
192,11.96558210985829,10.296663467191372,13.66372483770928,2,twin,young,198
193,12.410743935521984,10.23368156515763,14.894612894286162,1,singleton,young,187
194,11.448808857368059,9.831481477487243,13.290618110470103,2,twin,old,202
195,12.336675666714967,10.593922898190332,14.32131910679227,2,twin,old,202
196,11.55999630162595,9.970544811801295,13.214833260797713,2,twin,middle-aged,200
197,11.197752706928714,9.574590356154632,12.929757262389918,2,twin,middle-aged,200
198,9.210140751387955,7.627536876759356,10.976844665986931,1,singleton,young,198
199,10.195010146855973,8.911542402904468,11.630520783825297,2,twin,young,200
200,11.21451116154157,9.80269664319491,12.793572862207824,2,twin,young,200
201,13.31729512998828,11.347370453904324,15.322984997190666,2,twin,middle-aged,196
202,17.065974804058673,14.52213186674221,20.139820363175247,2,twin,middle-aged,196
203,13.017842182842104,10.83297376350204,15.674416423801699,1,singleton,old,196
204,19.045045074059097,15.833917556891388,22.554726514168355,1,singleton,young,195
205,7.728316883947705,6.539981383371727,8.91386203226446,2,twin,old,196
206,7.728316883947705,6.539981383371727,8.91386203226446,2,twin,old,196
207,22.62081579784934,19.10001715049044,26.51460293217496,1,singleton,old,198
208,14.599159578525303,12.273969498946636,17.16080057852819,1,singleton,young,198
209,11.197176600977347,9.632493764592445,13.072240958482945,2,twin,middle-aged,192
210,11.20854735939975,9.732398139099312,12.863952898986517,2,twin,middle-aged,192
211,21.69322182570786,18.045609158701268,25.518116009070106,3,triplet,old,187
212,17.248674789289982,14.285998788318874,20.379025349276056,3,triplet,old,187
213,9.892622305622197,8.193440481535825,11.687970420908322,3,triplet,old,187
214,11.262497679622381,9.71849544311926,12.838521372026563,2,twin,middle-aged,205
215,12.740082278016844,11.135448405741723,14.425795037421228,2,twin,middle-aged,205
216,16.11819847785168,14.16855035649634,18.2427448189762,2,twin,young,197
217,18.233401590566526,15.921187351122642,20.852248225754977,2,twin,young,197
218,11.212385294694409,9.867707330004201,12.575385854346644,2,twin,middle-aged,197
219,11.45613280110081,10.082222706743426,12.848763807702008,2,twin,middle-aged,197
220,11.993705292171176,10.617283747332529,13.397343942500509,2,twin,young,198
221,11.375962497407524,10.10894332524959,12.797527564595065,2,twin,young,198
222,10.39861714476416,9.016732035162587,11.820545216492945,2,twin,middle-aged,194
223,12.084879384455641,10.478904797621382,13.737390386735038,2,twin,middle-aged,194
224,8.3264488718978,7.29912547069182,9.40781570305151,2,twin,old,193
225,9.897023640210865,8.740547783106564,11.240586298055822,2,twin,old,193
226,14.703224986918272,12.934987390604734,16.57490673491452,2,twin,old,194
227,11.689387763484172,10.350495718064193,13.267711907891677,2,twin,old,194
228,15.7265325464615,12.989097689242126,18.754267044062328,1,singleton,young,189
229,17.049202190121463,15.014463634170198,19.23017377300967,2,twin,middle-aged,199
230,14.68921350894263,12.701807056604952,16.918496344037013,2,twin,middle-aged,199
231,15.985087906318824,13.776970119429127,18.3714669369705,2,twin,middle-aged,192
232,15.044788617711832,12.966560112403881,17.29079241126635,2,twin,middle-aged,192
233,11.179037396314282,9.680496763345673,12.851855663848031,2,twin,middle-aged,195
234,12.319755497979003,10.668302555523802,14.163269507097828,2,twin,middle-aged,195
235,22.21861022065871,19.405505111336108,25.517432808754933,1,singleton,middle-aged,201
236,11.805987737041447,10.296123735077154,13.593127195602058,2,twin,middle-aged,198
237,11.357940033699975,10.019687731068968,13.010143186201406,2,twin,middle-aged,198
238,10.627551603918022,9.204591593654143,12.407331881856114,2,twin,young,206
239,11.92359448244461,10.327102763611965,13.920421135741007,2,twin,young,206
240,7.327491191367256,6.375228295979386,8.453928486482203,2,twin,middle-aged,199
241,7.065795077389855,6.1475415711229795,8.15200246910784,2,twin,middle-aged,199
242,16.418091587172984,13.581633150517176,19.6426953096938,1,singleton,middle-aged,197
243,13.375078092339233,11.70509415671172,15.425370439126635,2,twin,young,194
244,11.71469002464279,10.172835011878096,13.79580848711734,2,twin,young,194
245,9.518768183359612,8.285336458140945,10.858307461376572,2,twin,middle-aged,191
246,9.426065675034227,8.180824762589078,10.886965243428016,2,twin,middle-aged,191
247,12.27027683308343,10.225122433455606,15.086640545470836,1,singleton,young,205
248,12.076063381749666,10.64537994318006,13.740368107748322,2,twin,middle-aged,201
249,11.74007034652534,10.156077742990467,13.526771111100683,2,twin,middle-aged,201
250,13.103931729031677,11.483458812588898,14.869916517035888,2,twin,young,195
251,12.1843575726084,10.677602053810732,13.826413603559686,2,twin,young,195
252,14.77197671232158,12.98392182591838,16.678005225733475,1,singleton,middle-aged,189
253,5.54117320239077,4.531728825291938,6.6617770923406745,1,singleton,young,183
254,18.40724919383445,15.839192012637126,20.980853252244007,2,twin,old,191
255,18.40724919383445,15.839192012637126,20.980853252244007,2,twin,old,191
256,10.843635566343346,9.090648320088341,12.92037390706722,2,twin,middle-aged,197
257,12.732013261896999,10.83197825658724,14.86619830929348,2,twin,middle-aged,197
258,10.493031637686284,8.855387297831342,12.381461091035021,1,singleton,old,197
259,21.417033694385427,18.247816470344702,24.902472176715413,2,twin,middle-aged,190
260,22.15225702840017,18.700820101938955,26.20914518794419,2,twin,middle-aged,190
261,21.747835356543685,18.71406748450201,24.947569668491848,2,twin,middle-aged,190
262,21.52380842445226,18.752961472075107,24.337975294935685,2,twin,middle-aged,190
263,15.248189931735665,13.025132546801416,17.842951918209653,2,twin,middle-aged,194
264,15.248189931735665,13.025132546801416,17.842951918209653,2,twin,middle-aged,194
265,11.149782449130756,9.780901023592836,12.674616657441492,2,twin,young,192
266,11.149782449130756,9.780901023592836,12.674616657441492,2,twin,young,192
267,6.918985165912918,5.780173729456646,8.118527524512208,3,triplet,old,209
268,11.0892786443263,9.195379978047692,12.969112513021946,3,triplet,old,209
269,14.792313113331065,12.357612800907312,17.356851948957136,3,triplet,old,209
270,10.782057271018399,9.316143107228628,12.419178586857699,2,twin,young,189
271,10.498318921781074,9.070981446512086,12.092358097729862,2,twin,young,189
272,15.151116313759239,12.62818497080577,18.22138108831688,1,singleton,middle-aged,205
273,11.38197909991586,9.73487383748396,13.40404810273808,1,singleton,middle-aged,191
274,19.028952933043943,15.754519449672946,22.915377720169417,1,singleton,old,197
275,12.116060561565758,10.255508713931205,14.123658624717145,2,twin,middle-aged,190
276,14.318980663668622,12.120146661918696,16.691596556483894,2,twin,middle-aged,190
277,19.356628455151,15.389360947734033,23.91959805840212,1,singleton,middle-aged,195
278,10.302337095540262,8.5514305804261,12.488894729323649,1,singleton,young,195
279,16.900939538954304,14.752872152562801,19.38178258618767,2,twin,young,200
280,15.12189327169596,13.199938241766718,17.341594945536336,2,twin,young,200
281,10.890036745104316,9.534330215408081,12.386231389425904,2,twin,old,203
282,14.973800524518433,13.109704046186112,17.031068160460617,2,twin,old,203
283,11.828530585312937,10.258370070295129,13.4841103144433,2,twin,middle-aged,196
284,10.249398603096427,8.735264221213484,11.893265958202827,2,twin,middle-aged,196
285,13.553843326176558,11.870085833209087,15.349744735073,2,twin,middle-aged,184
286,13.157639711479474,11.365731052198283,15.129015298848735,2,twin,middle-aged,184
287,16.187180892605753,13.679086735739885,18.973148861221098,3,triplet,old,199
288,17.06562120862308,14.417459732363927,19.903167138675496,3,triplet,old,199
289,10.428990738602996,8.810669836444625,12.163046584746139,3,triplet,old,199
290,12.619114895959068,10.675338834617104,14.684415072338565,1,singleton,young,190
291,16.310696429132072,13.65980986630209,18.93986225830854,1,singleton,middle-aged,199
292,10.482970437067804,9.033347831103534,11.987658010549803,2,twin,old,198
293,11.108134236402417,9.609621682008228,12.740407165465758,2,twin,old,198
294,14.755665044532172,12.653723246609589,16.8847124634342,2,twin,middle-aged,190
295,12.974808918467946,11.126549751329122,14.846902338536973,2,twin,middle-aged,190
296,24.77185144472396,20.989654439715192,29.210044591472887,1,singleton,middle-aged,183
297,13.52654945101278,11.4709668108908,15.725729117169886,1,singleton,young,191
298,6.19813482917287,5.491382765722872,6.976163574264084,2,twin,middle-aged,189
299,5.721355226928804,5.068968706821112,6.439535607013,2,twin,middle-aged,189
300,11.824193029540616,10.496127596277672,13.299468090880161,2,twin,young,199
301,12.262126104708786,10.884873062806474,13.792040983134982,2,twin,young,199
302,16.946173159491394,14.996920166460072,19.03623520517491,2,twin,young,191
303,16.77390843650291,14.736197668918345,19.01449327778805,2,twin,young,191
304,16.702361239774397,14.56278382598937,18.86707177184372,2,twin,middle-aged,191
305,18.30395752304043,15.95921515176917,20.676243037636944,2,twin,middle-aged,191
306,10.718604567059316,8.887433638327328,12.823049064113393,1,singleton,old,189
307,18.42347142896261,15.999127849093156,21.210518521648503,2,twin,old,200
308,20.964639901922975,18.205904104140494,24.13610728325519,2,twin,old,200
309,8.02710485082239,7.081795105068891,9.080965157837907,2,twin,young,196
310,8.829815335904629,7.78997461557578,9.989061673621697,2,twin,young,196
311,13.170353919911449,11.477348029860616,14.989113889325102,2,twin,middle-aged,200
312,12.116725606318528,10.559160187471765,13.789984778179093,2,twin,middle-aged,200
313,9.290405554427366,8.067004547389068,10.577427456916983,2,twin,old,204
314,9.75492583214873,8.470354774758519,11.106298829762828,2,twin,old,204
315,14.34433836471386,12.337473134368416,16.522393424057483,2,twin,middle-aged,191
316,14.484106251351596,12.658101865034157,16.49501204776093,2,twin,middle-aged,191
317,19.10452068283892,16.745068541483743,21.72721251022816,2,twin,young,205
318,18.601770138553682,16.30440884302364,21.155443759958988,2,twin,young,205
319,12.145907991747233,10.480448962059544,13.936110346457326,2,twin,middle-aged,208
320,13.442272209449861,11.541878118781666,15.838362337967864,2,twin,middle-aged,208
321,15.049429342226311,12.87011814680131,17.469638803862637,2,twin,middle-aged,186
322,14.611251096921624,12.681536456047162,16.70831360291409,2,twin,middle-aged,186
323,9.801956976234807,7.98795716292709,11.772003147333889,1,singleton,young,211
324,12.238362530099902,10.03684104623086,14.860337638560633,1,singleton,old,192
325,12.379642069208403,10.40386334171616,14.546288883612954,2,twin,young,195
326,11.137437258887743,9.410139443771081,13.220473956636742,2,twin,young,195
327,13.071292488016876,10.79009112332579,15.803807592009102,1,singleton,middle-aged,200
328,13.32351540710963,10.776563089933802,16.235756963110383,1,singleton,young,190
329,12.44293491286121,10.131021675829349,15.123312414930968,1,singleton,old,193
330,9.753259412009642,8.62276918129835,10.885079056109653,2,twin,middle-aged,192
331,9.657792109622918,8.419534083998816,10.974597169474233,2,twin,middle-aged,192
332,12.921136142066084,11.32319385302373,14.657466205605246,1,singleton,middle-aged,205
