cub,mean,ci_2.5,ci_97.5,cub_number,litter_size,age_mat,girth_mat
167,11.796085456302922,9.83166536880039,13.972350706673872,1,singleton,young,106
168,11.828373783245341,10.35142227054873,13.474785588286135,2,twin,young,105
169,11.163488246165612,9.750507953448569,12.684806217007374,2,twin,young,105
170,22.895486983123313,19.390327961966705,26.862178643042267,1,singleton,middle-aged,116
171,11.396806844654405,9.577016934085869,13.506376484557276,2,twin,middle-aged,112
172,11.650069218980056,9.789839532621112,13.806518184214102,2,twin,middle-aged,112
173,9.550419953160995,8.16823931821688,10.95655096864409,2,twin,young,109
174,8.754551623730908,7.487552708365469,10.04350505459041,2,twin,young,109
175,21.75779524098824,18.38610517781582,25.121104384162372,2,twin,middle-aged,114
176,20.506075803982554,17.089749833240997,24.243893788047316,2,twin,middle-aged,114
177,19.755268008215815,17.04864986412966,22.90514848439397,2,twin,middle-aged,123
178,16.328333761892665,14.091231010147986,18.93180640036644,2,twin,middle-aged,123
179,10.463765455330318,8.635679009359734,12.404453615576665,1,singleton,young,103
180,15.875199785077077,13.291877477328603,18.61060892916944,2,twin,middle-aged,94
181,14.925672794916858,12.663038008824053,17.24701082785102,2,twin,middle-aged,94
182,12.607535781512741,10.797699194590304,14.396015004946431,2,twin,young,99
183,14.435908097246825,12.322558004591592,16.486088649245158,2,twin,young,99
184,12.587102402657319,10.781593395110043,14.563125606763137,1,singleton,young,106
185,18.356908806676675,15.677017007139703,20.921631119993197,2,twin,middle-aged,105
186,17.164652310019797,14.9815028749389,19.313920189187822,2,twin,middle-aged,105
187,12.530124513507177,10.318204253393962,14.968799953805059,1,singleton,middle-aged,99
188,10.325518140715255,8.726048551300718,11.961927112140623,2,twin,middle-aged,112
189,10.774453712050702,9.105441966574663,12.482010899625,2,twin,middle-aged,112
190,14.435867500222336,11.97895338692809,17.09763292187262,1,singleton,young,115
191,11.99900313423751,10.480362302476793,13.727199578816794,2,twin,young,102
192,12.971895280256769,11.330121408083022,14.840215760883021,2,twin,young,102
193,13.89235013433066,11.33883397149478,16.92723932660147,1,singleton,young,95
194,12.450898101579165,10.607948544916797,14.466050599635748,2,twin,old,108
195,13.416477954354688,11.430605779012385,15.58790758491362,2,twin,old,108
196,12.785992336225377,11.000927167497013,14.57438517320436,2,twin,middle-aged,102
197,12.385354368637671,10.498073733913886,14.394232491034135,2,twin,middle-aged,102
198,10.387730882458463,8.717635319149899,12.214507275475569,1,singleton,young,101
199,11.415897744549328,10.002498659299999,13.064789108442262,2,twin,young,100
200,12.55748751900426,11.002748525229997,14.37126801928649,2,twin,young,100
201,13.310598699536094,11.326260237161693,15.309946337021545,2,twin,middle-aged,112
202,17.057613128161307,14.480425512045612,20.05063302409786,2,twin,middle-aged,112
203,14.033579467910906,11.516002244788245,16.919786859080094,1,singleton,old,104
204,17.523516649838097,14.347749846409751,20.959215406427283,1,singleton,young,118
205,8.065507222301347,6.795592188806698,9.279617727501298,2,twin,old,105
206,8.065507222301347,6.795592188806698,9.279617727501298,2,twin,old,105
207,20.55472134210493,17.322496461426386,24.553759903147792,1,singleton,old,121
208,14.304311004676466,12.05472112906806,16.81311161696462,1,singleton,young,114
209,10.493974863825892,9.035889810911003,12.222578369863008,2,twin,middle-aged,116
210,10.504621291261595,9.130433305828694,12.04636578398698,2,twin,middle-aged,116
211,17.206386188714745,14.303229579967233,20.2223447081714,3,triplet,old,135
212,13.680555025162015,11.39007587556658,15.941183111933915,3,triplet,old,135
213,7.846200676195862,6.532543516869068,9.142737373020923,3,triplet,old,135
214,12.386959037887337,10.719011322244164,14.11250001600419,2,twin,middle-aged,111
215,14.011092830195597,12.415978899468225,15.750746093253568,2,twin,middle-aged,111
216,16.173110697017076,14.267315034906071,18.33681200464013,2,twin,young,113
217,18.29595684589107,16.008704169029226,20.947653271343814,2,twin,young,113
218,12.037219874256841,10.582929890377413,13.434674428851105,2,twin,middle-aged,102
219,12.29889856717547,10.812993583646495,13.72673256860874,2,twin,middle-aged,102
220,12.229308987679243,10.831460837960377,13.664770054643569,2,twin,young,112
221,11.599128268229444,10.291557824335605,12.99843068037646,2,twin,young,112
222,10.314659439999028,8.94559990442883,11.74016868308017,2,twin,middle-aged,110
223,11.987306916755621,10.39623772676864,13.64397982087695,2,twin,middle-aged,110
224,8.749759995721156,7.6731028245899715,9.87423105738643,2,twin,old,99
225,10.400751391840826,9.151787448589909,11.826046074637741,2,twin,old,99
226,15.225416480543547,13.385150003210306,17.10324176173473,2,twin,old,103
227,12.104946662462137,10.736479121872915,13.724496224686671,2,twin,old,103
228,14.666130279929774,12.209110829581098,17.556528830273407,1,singleton,young,113
229,18.105253155173298,15.912790385194649,20.509623658966742,2,twin,middle-aged,107
230,15.599302548379143,13.493121962097227,17.946618711417425,2,twin,middle-aged,107
231,15.832127959548984,13.69451184212854,18.21447869218485,2,twin,middle-aged,107
232,14.90082631486963,12.888952322003322,17.14303876911515,2,twin,middle-aged,107
233,11.765738836932782,10.135156496398512,13.592862709744656,2,twin,middle-aged,102
234,12.966324432538165,11.169356138888153,14.979889516861455,2,twin,middle-aged,102
235,21.271309610971823,18.481174285686365,24.56895652975455,1,singleton,middle-aged,118
236,12.645675610251953,11.116085440833709,14.584077738055555,2,twin,middle-aged,104
237,12.165791763950915,10.748964457769501,13.94568766976665,2,twin,middle-aged,104
238,11.51864875599303,10.036484649646175,13.328074534142699,2,twin,young,115
239,12.923362018919008,11.26044619228595,14.953449477330834,2,twin,young,115
240,7.593190705645655,6.630106959618274,8.75527479510477,2,twin,middle-aged,111
241,7.322005323301169,6.393317425346194,8.442586409565315,2,twin,middle-aged,111
242,17.616274889932573,14.53295852364673,21.091982799551953,1,singleton,middle-aged,105
243,13.937133364324813,12.223475316398385,16.107359060949005,2,twin,young,102
244,12.20741916798108,10.573952446162863,14.395692203687979,2,twin,young,102
245,9.807435359300683,8.531934015135944,11.258668786188643,2,twin,middle-aged,99
246,9.711282291886903,8.312487890071816,11.289871133230013,2,twin,middle-aged,99
247,14.500268913582723,12.271039634687027,17.382731695783885,1,singleton,young,101
248,13.080009105664793,11.615570631421816,14.82159659959114,2,twin,middle-aged,107
249,12.71644399032195,11.05303223036152,14.572152612857446,2,twin,middle-aged,107
250,12.499925499000566,10.88972847481188,14.27091114535179,2,twin,young,118
251,11.622737744684738,10.125537002895257,13.269443696555172,2,twin,young,118
252,14.228018865936297,12.537369569385524,15.96104390656821,1,singleton,middle-aged,110
253,5.236238449978467,4.398876670180807,6.165814603970164,1,singleton,young,108
254,16.97575931149589,14.739698943276421,19.42379589993382,2,twin,old,117
255,16.97575931149589,14.739698943276421,19.42379589993382,2,twin,old,117
256,10.87974393327611,9.130110899704082,12.873538112785166,2,twin,middle-aged,113
257,12.774109996017739,10.926037913089715,14.90315422914943,2,twin,middle-aged,113
258,10.436881159969213,8.827509903044373,12.325828956869247,1,singleton,old,112
259,20.668892098760526,17.68576502599019,23.95770912954834,2,twin,middle-aged,108
260,21.377567948169347,18.024589538510185,25.264301127361616,2,twin,middle-aged,108
261,21.11650909107888,18.32255888584194,24.37545821735405,2,twin,middle-aged,107
262,20.89993390538124,18.241284402418387,23.723518399027686,2,twin,middle-aged,107
263,15.311674583912424,13.111286574673418,17.933818377212923,2,twin,middle-aged,108
264,15.311674583912424,13.111286574673418,17.933818377212923,2,twin,middle-aged,108
265,11.24896468266843,9.91691330604929,12.732420642687268,2,twin,young,104
266,11.24896468266843,9.91691330604929,12.732420642687268,2,twin,young,104
267,7.966336488188919,6.717857257310173,9.297165039920447,3,triplet,old,110
268,12.766740940218126,10.67807951429617,14.915208527337953,3,triplet,old,110
269,17.03147800923148,14.362315515628644,19.87669767155406,3,triplet,old,110
270,10.820710914674972,9.39238086358347,12.433819866447765,2,twin,young,100
271,10.53595536428879,9.145212946120747,12.106614080488615,2,twin,young,100
272,15.378839155289208,13.104654132150424,18.204147251546452,1,singleton,middle-aged,115
273,11.355262674863742,9.70115485905293,13.486251264658911,1,singleton,middle-aged,108
274,18.52161069151617,15.376406888461045,22.241501789837013,1,singleton,old,114
275,11.3385033160384,9.594653098971465,13.165496168233666,2,twin,middle-aged,113
276,13.400049373499925,11.33913548060264,15.55922274427615,2,twin,middle-aged,113
277,18.796206090254163,14.86744196328945,23.391162122346383,1,singleton,middle-aged,113
278,9.078091654542947,7.49789979109858,11.160557721213976,1,singleton,young,122
279,18.015204342627964,15.79714649321682,20.485092863258874,2,twin,young,108
280,16.11886704340397,14.134288967615054,18.328767298705316,2,twin,young,108
281,11.742693243421945,10.284239794962062,13.353970841273709,2,twin,old,111
282,16.14620320970517,14.140829718072833,18.361709906751347,2,twin,old,111
283,12.26723657646457,10.620552229937728,14.090017345922968,2,twin,middle-aged,106
284,10.629445814123965,9.061567828922062,12.368403933169894,2,twin,middle-aged,106
285,12.778606053041969,11.367163759147084,14.179968587055226,2,twin,middle-aged,102
286,12.40371133502197,10.912652635929263,13.99582344072519,2,twin,middle-aged,102
287,16.466354480581394,14.01494860101755,19.31648569135931,3,triplet,old,114
288,17.35921452053334,14.768859457958449,20.22576197530385,3,triplet,old,114
289,10.608408873659265,9.025414113196831,12.3601878737968,3,triplet,old,114
290,12.781531504150548,10.87697450945439,14.914917322236839,1,singleton,young,106
291,16.97982911806637,14.36016399693102,19.587016325663804,1,singleton,middle-aged,109
292,10.430901851419181,8.961336919148032,12.015033795865307,2,twin,old,116
293,11.052488350353647,9.572106943824167,12.709525730404316,2,twin,old,116
294,13.807726937392932,11.864561654485202,15.891577926180734,2,twin,middle-aged,113
295,12.141277134604133,10.432631799633544,13.973628866124441,2,twin,middle-aged,113
296,20.351000383049065,17.344424350584728,24.181457097028545,1,singleton,middle-aged,121
297,14.89754780109891,12.170022650297378,17.752643089961158,1,singleton,young,99
298,6.107175572619194,5.397129861169083,6.831313658664327,2,twin,middle-aged,103
299,5.637392836263872,4.981966025694538,6.305827992613225,2,twin,middle-aged,103
300,11.111069436472855,9.582307816840734,12.673639920210986,2,twin,young,127
301,11.52259052671259,9.937208106353353,13.143033991329908,2,twin,young,127
302,16.018003236541453,14.076736311085602,18.050156576077903,2,twin,young,113
303,15.854921419674454,13.940827394683918,17.957124018743794,2,twin,young,113
304,16.58241464825806,14.38802313665987,18.888534406338913,2,twin,middle-aged,105
305,18.17250920357047,15.767696588120403,20.699763732974148,2,twin,middle-aged,105
306,9.99362918926746,8.304502891634213,11.984093140520889,1,singleton,old,113
307,18.6964990626189,16.145510135185972,21.364323700467686,2,twin,old,116
308,21.27532651953186,18.372477050384038,24.311126969497707,2,twin,old,116
309,8.639292284105784,7.49713335712831,9.851981754187385,2,twin,young,100
310,9.50322151251636,8.246846692841139,10.837179929606123,2,twin,young,100
311,12.277504843833064,10.45778571509832,14.206874613040013,2,twin,middle-aged,130
312,11.295304456326416,9.621162857890452,13.070324643996809,2,twin,middle-aged,130
313,10.30645085635535,8.986510733143145,11.662997380516558,2,twin,old,108
314,10.821773399173114,9.435836269800298,12.246147249542382,2,twin,old,108
315,13.893388413648422,12.002304522490373,15.938614707339813,2,twin,middle-aged,109
316,14.029205116917634,12.265187239745735,15.9739453609123,2,twin,middle-aged,109
317,20.623674516247547,18.294397175805727,23.20650709811023,2,twin,young,114
318,20.08094623950419,17.812965671179263,22.595809542896795,2,twin,young,114
319,14.543365018405568,12.646444514768216,16.66259667293493,2,twin,middle-aged,102
320,16.096526339504116,13.8706280294832,18.597343687844052,2,twin,middle-aged,102
321,13.94947413605004,12.071454504711792,16.08474993230749,2,twin,middle-aged,108
322,13.544269504688634,11.861623280384002,15.329631649678884,2,twin,middle-aged,108
323,11.404171838971,9.70221470806676,13.190544268273355,1,singleton,young,106
324,13.411485758831448,10.811376180884297,16.256635989140158,1,singleton,old,100
325,12.028340126880076,10.132359401638,14.259006414332196,2,twin,young,115
326,10.82157902996795,9.131082467955022,12.943820441338891,2,twin,young,115
327,13.846590795487296,11.511822897978455,16.534518734188385,1,singleton,middle-aged,108
328,13.204348010713213,10.738934462076031,16.013780209523418,1,singleton,young,108
329,12.4460905950749,10.086792772658715,15.040969647747403,1,singleton,old,109
330,9.779577319262863,8.673658993171244,10.919397428607608,2,twin,middle-aged,105
